sampling_weight,property_label,theme_entity_label,fluency_mean,fluency_median,adequacy_maj,adequacy_perc,had_descriptions,had_aliases,processed_verbalisation,datatype,entity_label,object_label,theme_group,weighted_fluency_mean,weighted_fluency_median,weighted_adequacy_maj,weighted_adequacy_perc
193.6,post town,Building,2.6,2.0,0,1.0,1,0,Limingantie 21 is a post town in Helsinki.,string,Limingantie 21,Helsinki,WEBNLG_SEEN,503.36,387.2,0.0,193.6
168.66666666666666,archives at,Building,2.4,2.0,0,1.0,3,2,Post Office Luzern 1 is archived at the PTT Archive.,wikibase-item,Post Office Luzern 1,PTT Archive,WEBNLG_SEEN,404.79999999999995,337.3333333333333,0.0,168.66666666666666
377.5,patron saint,Building,2.6,2.0,0,0.8,3,1,The patron saint of the Church of the Assumption of the Virgin Mary (Skuteč) is the Virgin Mary.,wikibase-item,Church of the Assumption of the Virgin Mary (Skuteč),Virgin Mary,WEBNLG_SEEN,981.5,755.0,0.0,302.0
7.666666666666668,follows,City,2.8,2.0,1,0.4,3,3,Ulvila is followed by Kullaa.,wikibase-item,Ulvila,Kullaa,WEBNLG_SEEN,21.46666666666667,15.333333333333336,7.666666666666668,3.0666666666666673
8.0,replaced by,City,2.4,2.0,0,1.0,3,1,Sagae was replaced by Kahoku.,wikibase-item,Sagae,Kahoku,WEBNLG_SEEN,19.2,16.0,0.0,8.0
22.0,flag,City,2.4,2.0,0,0.6,2,2,The flag of Babrujsk District is the flag of Babruysk.,wikibase-item,Babruysk,Flag of Babrujsk District,WEBNLG_SEEN,52.8,44.0,0.0,13.2
22.0,flag,City,1.0,0.0,0,1.0,3,2,The flag of Bydgoszcz is the flag of Bydgoszcz.,wikibase-item,Bydgoszcz,flag of Bydgoszcz,WEBNLG_SEEN,22.0,0.0,0.0,22.0
18.83333333333333,described by source,Food,2.8,2.0,0,1.0,2,1,Sbiten is described by source in the Explanatory Dictionary of the Living Great Russian Language.,wikibase-item,Sbiten,Explanatory Dictionary of the Living Great Russian Language,WEBNLG_SEEN,52.73333333333332,37.66666666666666,0.0,18.83333333333333
26.714285714285715,diocese,Monument,2.6,2.0,0,0.8,3,1,Mariakapel is in the Roman Catholic Diocese of Roermond.,wikibase-item,Mariakapel,Roman Catholic Diocese of Roermond,WEBNLG_SEEN,69.45714285714286,53.42857142857143,0.0,21.371428571428574
26.714285714285715,diocese,Monument,2.2,1.0,0,0.8,3,2,Església de Sant Julià de Boada is diocese by the Roman Catholic Diocese of Girona.,wikibase-item,Església de Sant Julià de Boada,Roman Catholic Diocese of Girona,WEBNLG_SEEN,58.77142857142858,26.714285714285715,0.0,21.371428571428574
46.14285714285714,country of origin,Monument,2.2,2.0,0,1.0,3,2,"The People's Republic of China is the country of origin of the pair of signature seals, each with a Lion Dog with a Sphere Beneath One Paw.",wikibase-item,"Pair of Signature Seals, Each With a Lion Dog With a Sphere Beneath One Paw",People's Republic of China,WEBNLG_SEEN,101.51428571428572,92.28571428571428,0.0,46.14285714285714
191.875,part of,SportsTeam,2.0,2.0,0,0.8,1,1,The Israel women's national road cycling team (1997) is part of the team.,wikibase-item,Israel women's national road cycling team 1997,Israel women's national road cycling team,WEBNLG_SEEN,383.75,383.75,0.0,153.5
2.0,budget,University,1.8,1.0,0,0.8,3,2,The University of Valencia has a budget of 372154373 euro.,quantity,University of Valencia,372154373 euro,WEBNLG_SEEN,3.6,2.0,0.0,1.6
1.8571428571428568,name in kana,University,2.2,2.0,0,0.6,2,2,Hokkaido University's name in kana is ほっかいどうだいがく.,string,Hokkaido University,ほっかいどうだいがく,WEBNLG_SEEN,4.085714285714285,3.7142857142857135,0.0,1.114285714285714
1.8571428571428568,name in kana,University,2.4,2.0,0,1.0,2,1,Fukuoka Prefectural University's name in kana is ふくおかけんりつだいがく.,string,Fukuoka Prefectural University,ふくおかけんりつだいがく,WEBNLG_SEEN,4.457142857142856,3.7142857142857135,0.0,1.8571428571428568
4244.263157894737,performer,WrittenWork,1.8,1.0,0,1.0,3,2,Oresama is a performer on Trip Trip Trip.,wikibase-item,Trip Trip Trip,Oresama,WEBNLG_SEEN,7639.6736842105265,4244.263157894737,0.0,4244.263157894737
4244.263157894737,performer,WrittenWork,2.2,2.0,0,0.8,3,1,I'm the One performer is Descendents.,wikibase-item,I'm the One,Descendents,WEBNLG_SEEN,9337.378947368421,8488.526315789473,0.0,3395.4105263157894
4244.263157894737,performer,WrittenWork,2.4,1.0,0,0.8,3,2,"Rita Lee is a performer of Aqui, Ali, Em Qualquer Lugar.",wikibase-item,"Aqui, Ali, Em Qualquer Lugar",Rita Lee,WEBNLG_SEEN,10186.231578947367,4244.263157894737,0.0,3395.4105263157894
438766.11111111107,title,WrittenWork,1.6,1.0,0,0.6,2,1,"Acquired acrokeratosis and ichthyosis associated with multiple myeloma has the title ""Acquired acrokeratosis and ichthyosis associated with multiple myeloma"".",monolingualtext,[Acquired acrokeratosis and ichthyosis associated with multiple myeloma],[Acquired acrokeratosis and ichthyosis associated with multiple myeloma],WEBNLG_SEEN,702025.7777777778,438766.11111111107,0.0,263259.6666666666
206.0,conflict,Artist,1.6,1.0,0,0.6,3,2,Aleksandr Vasilevitsj Vasjakin is in the Eastern Front.,wikibase-item,Aleksandr Vasilevitsj Vasjakin,Eastern Front,WEBNLG_UNSEEN,329.6,206.0,0.0,123.6
246.66666666666663,archives at,Artist,3.0,2.0,0,0.8,3,2,Marc Allégret is in the archives of the Cinémathèque Française.,wikibase-item,Marc Allégret,Cinémathèque Française,WEBNLG_UNSEEN,739.9999999999999,493.33333333333326,0.0,197.33333333333331
962.7333333333332,time of discovery or invention,CelestialBody,1.6,2.0,0,0.6,2,2,15976) 1998 FY119 was invented on 20/03/1998.,time,(15976) 1998 FY119,20/03/1998,WEBNLG_UNSEEN,1540.3733333333332,1925.4666666666665,0.0,577.6399999999999
962.7333333333332,time of discovery or invention,CelestialBody,2.4,2.0,0,0.6,2,2,(83385) 2001 SH17 was invented on 16/09/2001.,time,(83385) 2001 SH17,16/09/2001,WEBNLG_UNSEEN,2310.5599999999995,1925.4666666666665,0.0,577.6399999999999
956.8125,discoverer or inventor,CelestialBody,3.0,2.0,0,0.8,3,1,Ingrid van Houten-Groeneveld is the inventor of the (30655) 2289 T-1.,wikibase-item,(30655) 2289 T-1,Ingrid van Houten-Groeneveld,WEBNLG_UNSEEN,2870.4375,1913.625,0.0,765.45
2831.125,follows,CelestialBody,2.6,2.0,0,0.8,3,1,(83960) 2001 XB84 is followed by (83959) 2001 XD80.,wikibase-item,(83960) 2001 XB84,(83959) 2001 XD80,WEBNLG_UNSEEN,7360.925,5662.25,0.0,2264.9
2831.125,follows,CelestialBody,1.6,1.0,0,0.6,3,2,117852 Constance is followed by (117851) 2005 JE151.,wikibase-item,117852 Constance,(117851) 2005 JE151,WEBNLG_UNSEEN,4529.8,2831.125,0.0,1698.675
13244.333333333336,redshift,CelestialBody,1.8,1.0,0,0.6,1,1,SDSS J124939.07+333747.7 has a redshift of 1.935214.,quantity,SDSS J124939.07+333747.7,1.935214,WEBNLG_UNSEEN,23839.800000000007,13244.333333333336,0.0,7946.600000000001
1.5,height,MeanOfTransportation,2.8,2.0,0,1.0,3,3,FGC Class H12 has a height of 3874 millimetres.,quantity,FGC Class H12,3874 millimetre,WEBNLG_UNSEEN,4.199999999999999,3.0,0.0,1.5
106.16666666666669,fleet or registration number,MeanOfTransportation,1.8,1.0,2,0.0,2,2,RENFE 278 class fleet or registration number is 278-001 – 278-029.,string,RENFE 278 class,278-001 – 278-029,WEBNLG_UNSEEN,191.10000000000005,106.16666666666669,106.16666666666669,0.0
119.85714285714286,affiliation,Politician,2.6,2.0,0,1.0,3,2,José Antonio Kast is affiliated with Republican Action.,wikibase-item,José Antonio Kast,Republican Action,WEBNLG_UNSEEN,311.62857142857143,239.71428571428572,0.0,119.85714285714286
122.28571428571428,allegiance,Politician,3.0,2.0,0,1.0,3,2,Wilhelm Murr's allegiance is Nazi Germany.,wikibase-item,Wilhelm Murr,Nazi Germany,WEBNLG_UNSEEN,366.85714285714283,244.57142857142856,0.0,122.28571428571428
86.35714285714286,different from,Taxon,1.6,1.0,0,0.8,3,1,Pseudochaete is different from Pseudochaete.,wikibase-item,Pseudochaete,Pseudochaete,WIKIDATA_UNSEEN,138.17142857142858,86.35714285714286,0.0,69.08571428571429
820.0714285714287,established from medical condition,Taxon,2.4,2.0,0,1.0,3,1,PathHunter U2OS XBP1 Nuclear Translocation was established from medical condition osteosarcoma.,wikibase-item,PathHunter U2OS XBP1 Nuclear Translocation,osteosarcoma,WIKIDATA_UNSEEN,1968.1714285714288,1640.1428571428573,0.0,820.0714285714287
2106.3571428571427,subject has role,Taxon,1.8,2.0,0,1.0,3,2,Embreea rodigasiana var. herrenhusana has a basionym.,wikibase-item,Embreea rodigasiana var. herrenhusana,basionym,WIKIDATA_UNSEEN,3791.442857142857,4212.714285714285,0.0,2106.3571428571427
2246.8571428571427,basionym,Taxon,1.6,1.0,0,0.6,1,0,Michelia subg. Anisochlamys is basionym for Michelia sect. Anisochlamys.,wikibase-item,Michelia subg. Anisochlamys,Michelia sect. Anisochlamys,WIKIDATA_UNSEEN,3594.9714285714285,2246.8571428571427,0.0,1348.1142857142856
15.0,different from,Street,2.4,2.0,0,0.8,3,1,Jüdenstraße is different from Jüdenstraße.,wikibase-item,Jüdenstraße,Jüdenstraße,WIKIDATA_UNSEEN,36.0,30.0,0.0,12.0
15.0,different from,Street,2.4,1.0,0,0.8,3,1,Berliner Straße is different from Berliner Straße.,wikibase-item,Berliner Straße,Berliner Straße,WIKIDATA_UNSEEN,36.0,15.0,0.0,12.0
15.0,different from,Street,2.0,1.0,0,0.6,3,1,Birkenstraße is different from Birkenstraße.,wikibase-item,Birkenstraße,Birkenstraße,WIKIDATA_UNSEEN,30.0,15.0,0.0,9.0
871.3888888888887,connects with,Street,2.6,2.0,0,1.0,3,3,Rue Joseph Coosemans - Joseph Coosemansstraat is connected to Avenue Rogier - Rogierlaan.,wikibase-item,Rue Joseph Coosemans - Joseph Coosemansstraat,Avenue Rogier - Rogierlaan,WIKIDATA_UNSEEN,2265.611111111111,1742.7777777777774,0.0,871.3888888888887
871.3888888888887,connects with,Street,1.8,2.0,0,1.0,3,3,Avenue de la Reine des Prés - Olmkruidlaan is connected to Avenue des Pagodes - Pagodenlaan.,wikibase-item,Avenue de la Reine des Prés - Olmkruidlaan,Avenue des Pagodes - Pagodenlaan,WIKIDATA_UNSEEN,1568.4999999999998,1742.7777777777774,0.0,871.3888888888887
78.69230769230771,described by source,Painting,2.2,2.0,0,0.6,2,1,The Summer Evening at Skagen Beach – The Artist and his Wife is described by Krøyer i internationalt lys.,wikibase-item,Summer Evening at Skagen Beach – The Artist and his Wife,Krøyer i internationalt lys,WIKIDATA_UNSEEN,173.12307692307698,157.38461538461542,0.0,47.21538461538462
79.07142857142857,inscription,Painting,1.6,1.0,0,0.6,2,2,"The House of Ypres has the inscription GROUP OF 7 The Group of Seven/Le Groupe des Sept; The National Gallery of Canada/; Galerie Nationale du Canada, Ottawa; 19 June-8 September 1970/19 juin - 8 septembre 1970; 75.",monolingualtext,House of Ypres,"GROUP OF 7 The Group of Seven/Le Groupe des Sept; The National Gallery of Canada/; Galerie Nationale du Canada, Ottawa; 19 June-8 September 1970/19 juin - 8 septembre 1970; 75",WIKIDATA_UNSEEN,126.51428571428572,79.07142857142857,0.0,47.44285714285714
157.92857142857142,movement,Painting,2.0,2.0,0,0.6,2,2,Fresco depicting a menead carrying a thyrsus is a movement in the Ancient Roman mural painting.,wikibase-item,Fresco depicting a menead carrying a thyrsus,Ancient Roman mural painting,WIKIDATA_UNSEEN,315.85714285714283,315.85714285714283,0.0,94.75714285714285
3538.615384615385,copyright status,Painting,2.6,2.0,0,0.6,3,2,The Korte Vijverberg in The Hague is in the public domain.,wikibase-item,The Korte Vijverberg in The Hague,public domain,WIKIDATA_UNSEEN,9200.400000000001,7077.23076923077,0.0,2123.169230769231
5452.23076923077,height,Painting,2.6,2.0,0,1.0,3,2,Eve Towards the Light is 268 centimetres high.,quantity,Eve Towards the Light,268 centimetre,WIKIDATA_UNSEEN,14175.800000000003,10904.46153846154,0.0,5452.23076923077
31.363636363636363,issue,ChemicalCompound,2.6,1.0,0,0.6,2,1,"Effects of salicylate on 3,4-methylenedioxymethamphetamine (MDMA)-induced neurotoxicity in rats. Issue 3.",string,"Effects of salicylate on 3,4-methylenedioxymethamphetamine (MDMA)-induced neurotoxicity in rats.",3,WIKIDATA_UNSEEN,81.54545454545455,31.363636363636363,0.0,18.818181818181817
31.363636363636363,issue,ChemicalCompound,2.6,2.0,2,0.0,2,1,"Ecstasy (MDMA, MDA, MDEA, MBDB) consumption, seizures, related offences, prices, dosage levels and deaths in the UK (1994-2003). Issue 3.",string,"Ecstasy (MDMA, MDA, MDEA, MBDB) consumption, seizures, related offences, prices, dosage levels and deaths in the UK (1994-2003).",3,WIKIDATA_UNSEEN,81.54545454545455,62.72727272727273,31.363636363636363,0.0
31.363636363636363,issue,ChemicalCompound,1.6,1.0,0,0.8,2,1,"The microglial and astroglial activation by 3,4-methylenedioxymethamphetamine (MDMA) in mice depends on S(+) enantiomer and is associated with an increase in body temperature and motility. Issue 1.",string,"Microglial and astroglial activation by 3,4-methylenedioxymethamphetamine (MDMA) in mice depends on S(+) enantiomer and is associated with an increase in body temperature and motility.",1,WIKIDATA_UNSEEN,50.18181818181819,31.363636363636363,0.0,25.090909090909093
31.363636363636363,issue,ChemicalCompound,2.4,2.0,0,0.6,2,1,The issue 8 of Hallucinogen persisting perception disorder and the serotonergic system: a comprehensive review including new MDMA-related clinical cases.,string,Hallucinogen persisting perception disorder and the serotonergic system: a comprehensive review including new MDMA-related clinical cases.,8,WIKIDATA_UNSEEN,75.27272727272727,62.72727272727273,0.0,18.818181818181817
31.16666666666667,stereoisomer of,ChemicalCompound,0.8,0.0,1,0.19999999999999996,3,0,"1-[(3R,9R,10S)-12-[(2R)-1-hydroxypropan-2-yl]-3,10-dimethyl-9-[[methyl(pyridin-4-ylmethyl)amino]methyl]-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-propan-2-ylurea is",wikibase-item,"1-[(3S,9S,10S)-12-[(2R)-1-hydroxypropan-2-yl]-3,10-dimethyl-9-[[methyl(pyridin-4-ylmethyl)amino]methyl]-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-propan-2-ylurea","1-[(3R,9R,10S)-12-[(2R)-1-hydroxypropan-2-yl]-3,10-dimethyl-9-[[methyl(pyridin-4-ylmethyl)amino]methyl]-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-propan-2-ylurea",WIKIDATA_UNSEEN,24.933333333333337,0.0,31.16666666666667,6.2333333333333325
31.16666666666667,stereoisomer of,ChemicalCompound,2.0,2.0,0,0.8,3,0,The stereoisomer of deacetoxyvindoline is deacetoxyvindoline.,wikibase-item,desacetoxyvindoline,deacetoxyvindoline,WIKIDATA_UNSEEN,62.33333333333334,62.33333333333334,0.0,24.933333333333337
31.16666666666667,stereoisomer of,ChemicalCompound,2.4,1.0,0,1.0,3,2,The stereoisomer of (S)-timonacic is (R)-timonacic.,wikibase-item,(R)-timonacic,(S)-timonacic,WIKIDATA_UNSEEN,74.80000000000001,31.16666666666667,0.0,31.16666666666667
2631.090909090909,mass,ChemicalCompound,2.4,1.0,0,0.8,3,2,"[(3aR,4R,9bS)-4-(hydroxymethyl)-8-(3-methoxyphenyl)-5-methyl-3,3a,4,9b-tetrahydro-2H-pyrrolo[3,2-c]quinolin-1-yl]-(1,3-benzodioxol-5-yl)methanone has a mass of 472.2 dalton.",quantity,"[(3aR,4R,9bS)-4-(hydroxymethyl)-8-(3-methoxyphenyl)-5-methyl-3,3a,4,9b-tetrahydro-2H-pyrrolo[3,2-c]quinolin-1-yl]-(1,3-benzodioxol-5-yl)methanone",472.2 dalton,WIKIDATA_UNSEEN,6314.618181818181,2631.090909090909,0.0,2104.8727272727274
2631.090909090909,mass,ChemicalCompound,1.8,1.0,0,0.8,3,2,"6-({(1S,5R)-3-[2-(3,4-dimethoxyphenoxy)ethyl]-2-oxo-3,9-diazabicyclo[3.3.1]non-9-yl}sulfonyl)-1,3-benzothiazol-2(3H)-one has a mass of 533.129 dalton.",quantity,"6-({(1S,5R)-3-[2-(3,4-dimethoxyphenoxy)ethyl]-2-oxo-3,9-diazabicyclo[3.3.1]non-9-yl}sulfonyl)-1,3-benzothiazol-2(3H)-one",533.129 dalton,WIKIDATA_UNSEEN,4735.963636363636,2631.090909090909,0.0,2104.8727272727274
2631.090909090909,mass,ChemicalCompound,1.8,2.0,0,0.8,3,2,1-(2-furanyl)-3-(phenylthio)-3-thiophen-2-yl-1-propanone has a mass of 314.044 dalton.,quantity,1-(2-furanyl)-3-(phenylthio)-3-thiophen-2-yl-1-propanone,314.044 dalton,WIKIDATA_UNSEEN,4735.963636363636,5262.181818181818,0.0,2104.8727272727274
